,context
59,"Môn học CS1113 là môn Khoa học máy tính I. Tóm tắt nội dung môn học bao gồm giới thiệu về khoa học máy tính sử dụng ngôn ngữ máy tính cấp cao có cấu trúc khối, các chương trình con, mảng, bản ghi và các loại dữ liệu trừu tượng. Ngoài ra, môn học còn bao gồm nguyên lý giải quyết các vấn đề, thực hành lập trình, khai báo biến, kiểu dữ liệu, các phương pháp tìm kiếm và sắp xếp cơ bản, cũng như sử dụng các lệnh và công cụ của hệ điều hành."
60,"Môn học có tên CS312 là môn học về Hệ thống đa tác tử. Nội dung của môn học bao gồm các kiến thức về Công nghệ đa tác tử, bao gồm các khái niệm về tác tử và hệ thống đa tác tử, các hoạt động trong hệ thống đa tác tử, công nghệ JADE về hệ thống đa tác tử, và ứng dụng của tác tử trong một số lĩnh vực."
61,"Môn Bảo mật thông tin với thẻ thông minh và giao tiếp tầm gần (NFC) (mã NT312) trang bị cho sinh viên kiến thức nền tảng về thẻ thông minh, tập trung vào bảo mật thẻ thông minh. Không chỉ dừng lại ở các ứng dụng phổ biến trong liên lạc di động và công nghiệp, môn học còn khai thác tiềm năng ứng dụng của thẻ thông minh và công nghệ NFC hiện đại. Nội dung môn học bao trùm các vấn đề bảo mật liên quan, tiêu chuẩn thiết kế hệ thống thẻ thông minh an toàn, các phương thức và mối đe dọa tấn công, cũng như giải pháp bảo mật trong phát triển sản phẩm thương mại ứng dụng thẻ thông minh. Bên cạnh lý thuyết, môn học còn cung cấp kỹ năng phát triển ứng dụng thực tế sử dụng thẻ thông minh và công nghệ NFC."
62,"Môn Đại số tuyến tính (MATH3013) cung cấp nền tảng về lý thuyết và ứng dụng của ma trận trong các ngành kỹ thuật. Môn học bao gồm các nội dung chính như ma trận, hệ phương trình tuyến tính, không gian vectơ, hạng, ma trận nghịch đảo, biến đổi tuyến tính, giá trị riêng, vectơ riêng, không gian Euclid và trực giao."
63,"Môn học CS231 về Thị giác máy tính giới thiệu các kiến thức căn bản trong lĩnh vực này, bao gồm low-level computer vision và mid-level computer vision. Các chủ đề cụ thể bao gồm rút trích và khai thác thông tin trên ảnh, các loại đặc trưng thị giác cấp thấp và phương pháp biểu diễn đặc trưng thị giác cấp thấp, kĩ thuật so khớp ảnh, kĩ thuật phân đoạn ảnh và phương pháp theo vết (tracking)."
64,"Môn Thu thập và tiền xử lý dữ liệu với mã học phần DS103 sẽ giúp sinh viên nắm được các phương pháp thu thập, xử lý dữ liệu nhằm phục vụ cho việc phân tích và sử dụng dữ liệu trong tương lai. Môn học giới thiệu các nguyên tắc cơ bản về thu thập dữ liệu như lấy dữ liệu thô từ web, API, cơ sở dữ liệu và nhiều nguồn khác ở nhiều định dạng khác nhau, sau đó làm sạch dữ liệu và chuyển đổi dữ liệu ở dạng sẵn sàng để chia sẻ. Dữ liệu sẵn sàng giúp tăng hiệu quả cho quá trình phân tích dữ liệu."
65,"Môn EC337 có tên gọi là Hệ thống thanh toán trực tuyến, cung cấp cái nhìn toàn diện về các phương thức thanh toán truyền thống và tiên tiến. Môn học này đào sâu vào các vấn đề an toàn và bảo mật liên quan đến các giao dịch trực tuyến. Ngoài ra, môn học còn hướng dẫn cách tích hợp các công cụ thanh toán trực tuyến vào các hệ thống quản lý bán hàng và tài chính của doanh nghiệp."
66,"Môn học Đại số máy tính có mã số CS522 tổng kết nội dung như sau: Lý thuyết đồ thị nâng cao, làm rõ các đặc tính đồ thị gồm: đồ thị chu trình Euler, đồ thị chu trình Hamilton, đặc tính cây, cây đỏ đen, cây Huffman, v.v. Ngoài ra, môn học còn giới thiệu về ứng dụng triển khai các thuật toán trên đồ thị với máy tính, cùng với giới thiệu bài toán ghép đôi và lý thuyết mã."
67,"Môn học CS214, còn được gọi là Biểu diễn tri thức và suy luận, nhằm cung cấp cho sinh viên các phương pháp biểu diễn tri thức và suy luận sâu hơn và rộng hơn. Trong môn học này, đặc biệt chú trọng đến phương pháp tiếp cận BDTT dựa trên các ontology, giúp sinh viên có thể áp dụng để giải quyết các vấn đề thực tế. Ngoài ra, môn học cũng tập trung vào việc vận dụng các phương pháp kĩ thuật vào một số ứng dụng cụ thể."
68,"Môn học CE337 là môn học Tối ưu hóa dựa trên FPGA. Nội dung môn học tóm tắt như sau: Môn học này giới thiệu các ứng dụng sử dụng thiết bị có khả năng tái cấu hình. Chủ đề của môn học được chia thành ba phần chính: kiến trúc, phương pháp thiết kế và ứng dụng. Phần kiến trúc bao gồm giới thiệu về thiết bị lập trình tái cấu hình, đặc biệt là thiết bị thương mại hóa cao Field Programmable Gate Arrays (FPGAs), và các hệ thống có khả năng tái cấu hình. Phần phương pháp thiết kế bao gồm cách thiết kế cho FPGAs với sự trợ giúp của máy tính, biên dịch từ ngôn ngữ lập trình, thiết kế mức hệ thống: chẳng hạn như phân hoạch, kết nối, và tái cấu hình từng phần. Trong phần cuối cùng, những ứng dụng chính yếu của kỹ thuật tái cấu hình được thảo luận, từ ứng dụng công nghệ sinh học, bảo mật mạng cho đến các vấn đề về xử lý tín hiệu số và xử lý ảnh."
69,"Môn học Tính toán lưới, mã môn NT333, trang bị cho sinh viên các kiến thức về: lý thuyết tính toán lưới, kiến trúc cùng thành phần của hệ thống tính toán lưới; các tiêu chuẩn hỗ trợ tính toán lưới OGSI và OGSA; cách xây dựng hệ thống tính toán lưới, cơ sở về quản trị, phát triển lưới và an ninh lưới; hệ thống truyền thông lưới."
70,"Cử nhân ngành Thương mại điện tử (Áp dụng từ Khoá 18 - 2023) - Hình thức đào tạo: chính quy tập trung. - Số tín chỉ đào tạo: 125 - Thời gian đào tạo: Cử nhân: 4 năm, 8 học kỳ."
71,"Môn học CE334 là môn Thiết kế vi mạch tương tự. Tóm tắt môn học như sau: Môn học này trình bày kiến thức cơ bản về thiết kế vi mạch tương tự. Nó cung cấp các phương pháp để phân tích, thiết kế, mô phỏng và layout các thành phần hoặc mạch tương tự ở mức CMOS. Ngoài ra, môn học cũng có các bài thực hành để giúp sinh viên hiểu rõ hơn lý thuyết và có cái nhìn thực tế về thiết kế vi mạch tương tự."
72,"Môn học có mã DS102, Học máy thống kê, trang bị cho sinh viên kiến thức cơ bản và chuyên sâu về học máy, bao gồm: học máy thống kê, học từ dữ liệu (phân tích dữ liệu thống kê, chọn mẫu dữ liệu, hồi quy tuyến tính, logistic), học có giám sát và không giám sát. Ngoài ra, sinh viên sẽ được tìm hiểu những thách thức trong quá trình học từ dữ liệu như mất cân bằng dữ liệu, quá khớp và nhiễu. Thông qua các ví dụ thực tế, sinh viên sẽ nắm vững các kiến thức về học máy thống kê và có thể áp dụng chúng vào nhiều lĩnh vực thực tiễn."
73,"Môn Tiếng Nhật 7, với mã JAN07, cung cấp kiến thức tiếng Nhật trình độ trung cấp 3 (tương đương N3) trên cả bốn kỹ năng nghe, nói, đọc, viết. Qua đó, sinh viên sẽ nâng cao khả năng ứng dụng ngôn ngữ vào giao tiếp thực tế."
74,"Môn học Quản trị sản xuất, với mã môn học là EC332, bao gồm các khái niệm và mô hình sản xuất cùng quản lý sản xuất theo Kanban, Lean, 6 Sigma, cũng như hoạch định nguồn lực bằng hệ thống ERP."
75,"Môn chuyên sâu về Thương mại Điện tử (mã môn SE331) cung cấp một cái nhìn toàn diện về lĩnh vực thương mại điện tử. Nội dung chính của môn học bao gồm:

- Giới thiệu tổng quan về thương mại điện tử, xu hướng hiện tại và tương lai của nó, cũng như những ngành phù hợp để áp dụng thương mại điện tử.
- Các mô hình thương mại điện tử khác nhau tùy theo loại tương tác, các phương thức thanh toán phổ biến và các dịch vụ hỗ trợ thanh toán hiện có.
- Vấn đề bảo mật trong giao dịch thương mại điện tử.
- Các công nghệ, kỹ thuật và quy trình để phát triển một trang web thương mại điện tử, cũng như các kiến thức và kỹ năng cần thiết để vận hành nó hiệu quả."
76," Môn Kiến trúc Phần mềm được định danh bằng mã môn SE356. Nội dung chính của môn học là cung cấp cho sinh viên kiến thức về các kiến trúc phần mềm hiện đại, đặc điểm của chúng. Từ đó, sinh viên có thể lựa chọn được kiến trúc phần mềm phù hợp nhất với các yêu cầu đặt ra. Môn học giới thiệu về các kiến trúc phổ biến, chẳng hạn như kiến trúc phân lớp, kiến trúc thành phần, kiến trúc sự kiện, kiến trúc khung xương... Cùng với đó là các phương pháp mô tả và lựa chọn kiến trúc phần mềm phù hợp."
77,"Môn học Thiết kế Game với mã môn SE220 tổng hợp kiến thức và kỹ năng cơ bản về thiết kế trò chơi điện tử. Nội dung chương trình bao gồm: giới thiệu về nền tảng tâm lý học liên quan đến trò chơi điện tử, bản chất của trò chơi, nguyên nhân khiến trò chơi trở nên hấp dẫn và tác động đến tâm lý người chơi. Các chủ đề khác được đề cập đến là kỹ thuật thiết kế trò chơi, bài học lịch sử và các tiêu chuẩn thiết kế. Chương trình tiếp tục làm rõ các khía cạnh về thiết kế giao diện người dùng, xây dựng menu, sắp xếp các thành phần giao diện, thiết kế biểu tượng và thiết kế HUD. Cuối cùng, chương trình đề cập đến thiết kế cấp độ trò chơi, thảo luận về cách đặt ra những thử thách, xây dựng bối cảnh và tạo điểm nhấn cho từng cấp độ."
78,"Môn học CS3613 là môn học Cơ sở tính toán. Nội dung môn học được tóm tắt như sau: Giới thiệu lý thuyết cổ điển về khoa học máy tính, ứng dụng các máy tuần tự vào các thiết bị, tiến trình và lập trình. Các mô hình tính toán bao gồm automat hữu hạn, automat đẩy xuống và máy Turing. Ngoài ra, môn học còn trình bày về vai trò của không tất định và giới hạn của máy tính số, cũng như khái niệm giải được và không giải được."
